CV,R6_nm,R48_nm,fixed_effective_h_volume_nm3,N6_effective,N48_effective,N6_spherical_crosscheck,N48_spherical_crosscheck,Sv6_nm_inv,Sv48_nm_inv,M6_6h_nm3,M6_48h_nm3,kappa_6h_W_mK,kappa_48h_W_mK,delta_kappa_W_mK,relative_change_percent,objective_J,kappa6_within_5pct,kappa48_within_5pct,positive_trend,integration
0.3,15.0,17.0,356237.61016735336,19.457986079720715,13.366721558936986,25.198656254834635,17.310292053748604,0.004028203914182925,0.0035542975713378747,54.22974852146498,78.942445773617,1.2961571604374513,1.296110906446924,-4.625399052726742e-05,-0.0035685480078400953,0.3422602707653944,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,15.0,16.5,356237.61016735336,19.457986079720715,14.619072937431048,25.198656254834635,18.93212340708838,0.004028203914182925,0.0036620035583481135,54.22974852146498,72.17979528206986,1.2961571604374513,1.2961111528053424,-4.6007632108935326e-05,-0.003549541175501265,0.34226039435610484,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,15.0,17.5,356237.61016735336,19.457986079720715,12.25342563620896,25.198656254834635,15.868541548234054,0.004028203914182925,0.0034527462121567917,54.22974852146498,86.1148321428819,1.2961571604374513,1.2961171385390609,-4.002189839047432e-05,-0.0030877350071473572,0.34226339725631166,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,15.0,16.0,356237.61016735336,19.457986079720715,16.03288647926207,25.198656254834635,20.763052944352268,0.004028203914182925,0.003776441169546492,54.22974852146498,65.81482961301349,1.2961571604374513,1.296118480119507,-3.8680317944406184e-05,-0.0029842305489676596,0.34226407030457134,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,15.0,18.0,356237.61016735336,19.457986079720715,11.260408610949495,25.198656254834635,14.582555703029302,0.004028203914182925,0.0033568365951524375,54.22974852146498,93.70900544509136,1.2961571604374513,1.2961293092569912,-2.7851180460114477e-05,-0.0021487502681167723,0.3422695032242498,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,15.0,15.5,356237.61016735336,19.457986079720715,17.635044951577978,25.198656254834635,22.837894628597063,0.004028203914182925,0.003898261852435089,54.22974852146498,59.83549771122082,1.2961571604374513,1.2961335631687185,-2.3597268732800103e-05,-0.0018205561372539158,0.3422716374492239,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,15.0,18.5,356237.61016735336,19.457986079720715,10.371856043125968,25.198656254834635,13.431854359673368,0.004028203914182925,0.0032661112817699393,54.22974852146498,101.73701673547272,1.2961571604374513,1.296146933364145,-1.0227073306223744e-05,-0.0007890303443428203,0.3422783456161203,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.75,17.0,356237.61016735336,20.464239251431135,13.366721558936986,26.501783293541603,17.310292053748604,0.004096478556796195,0.0035542975713378747,51.563201488842395,78.942445773617,1.2961724151337597,1.296110906446924,-6.150868683563182e-05,-0.004745409338871355,0.34227911120370896,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.75,16.5,356237.61016735336,20.464239251431135,14.619072937431048,26.501783293541603,18.93212340708838,0.004096478556796195,0.0036620035583481135,51.563201488842395,72.17979528206986,1.2961724151337597,1.2961111528053424,-6.126232841729973e-05,-0.004726402730224567,0.3422792347944194,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.75,17.5,356237.61016735336,20.464239251431135,12.25342563620896,26.501783293541603,15.868541548234054,0.004096478556796195,0.0034527462121567917,51.563201488842395,86.1148321428819,1.2961724151337597,1.2961171385390609,-5.527659469883872e-05,-0.00426460199688283,0.34228223769462623,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
