run,reject_index,macro_step,reject_ordinal_in_step,physical_time_code,physical_time_s,category,first_failing_predicate,first_failing_function,baseline_source_line_range,baseline_log_line,integrator_mode,baseline_failure_stage,baseline_failure_reason,fallback_subcycle_depth,history_valid,active_set_transition_type,active_adjusted_cells,active_qalpha_lower_cells,active_phi_lower_cells,nonlinear_iterations,iteration_limit_status,stagnation_status,coordinate_switch,feasible_iterate_restored,reject_residual_Linf,mass_error,sum_divJ,nonfinite_count,bound_violation_count,mobility_failure_count,nonlinear_rows,nonlinear_max_iteration,nonlinear_accepted_trial_count,nonlinear_min_lambda,nonlinear_last_lambda,nonlinear_last_trial_accepted,nonlinear_first_accepted_residual,nonlinear_last_accepted_residual,nonlinear_accepted_residual_history,cold_residual_history_status,worst_idx,worst_i,worst_j,worst_k,worst_phi,worst_h,worst_alpha,worst_q_alpha,worst_xB,worst_mu,worst_divJ,worst_residual,worst_face_x_out,worst_face_x_in,worst_face_y_out,worst_face_y_in,worst_face_z_out,worst_face_z_in,phase_iterations,phase_KKT_Linf,phase_converged,energy_work_finite,energy_work_pass,energy_balance_rel,outer_transport_contract_pass,outer_converged,method_transport_residual,rollback_hash_status,same_macro_recovered
dt4,1,1283,1,1.00234375,41.225982890393574,J_OTHER_PROVEN_CAUSE,METHOD_TRANSPORT_COLD_GATE_MARGINAL,coupled_outer_acceptance_gate,main_cuda.cu:37773-37849,11751,BDF2,coupled_outer_coupling,coupled_outer_max_iter_not_converged,2,1,FREE_OR_BE_CONTEXT,0,0,0,34,NOT_HIT,NOT_PRIMARY_CAUSE,False,False,1.0009315713777656e-12,0.0,5.551115123125783e-17,0.0,0.0,0.0,34,34,34,1.0,1.0,1,3.748335278564494e-08,1.0008798187940655e-12,"[3.748335278564494e-08, 5.514699034983106e-09, 2.5593759353168136e-09, 1.5848747907225604e-09, 1.107023298608619e-09, ""..."", 2.34500882249565e-12, 1.8947718105610202e-12, 1.5312872497334898e-12, 1.2378339962285428e-12, 1.0008798187940655e-12]",FINAL_METHOD_COLD_RESIDUAL_ONLY,279,279,0,0,5.81353475367925743e-04,1.96309819691487958e-09,9.99999998036901760e-01,1.84830273015464744e-02,1.84830273378303843e-02,7.55002853069370872e-02,-7.31408606590450150e-03,8.89606267839933759e-14,4.82363558873942611e-01,4.89677644939847112e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4,2.220446049250313e-16,1,True,1,8.02236520064991e-24,0,0,1.0008798187940655e-12,NOT_LOGGED_IN_FROZEN_BASELINE,True
dt4,2,1412,1,1.1031250000000001,45.371073921461985,C_TRANSPORT_LINE_SEARCH_STAGNATION,TRANSPORT_LINE_SEARCH_STAGNATION,solve_ctot_transport_operator,main_cuda.cu:34388-34419,13017,BDF2,coupled_outer_coupling,transport_evaluation_or_line_search_failed,2,1,QALPHA_LOWER_MANIFOLD,2,2,0,105,NOT_HIT,MIN_LAMBDA_EXHAUSTED,True,True,4.666191178826942e-12,2.2737367544323206e-13,9.020562075079397e-17,0.0,0.0,0.0,1195,106,104,1e-06,1e-06,0,6.847634077530457e-06,4.666191178826942e-12,"[6.847634077530457e-06, 6.8342522255396216e-06, 6.830913299579223e-06, 6.829244652412341e-06, 6.829140387325788e-06, ""..."", 4.161773893263034e-12, 4.666191178826942e-12, 4.666191178826942e-12, 4.666191178826942e-12, 4.666191178826942e-12]",NOT_REACHED_BEFORE_REJECT,244,244,0,0,9.90617206166087616e-01,9.99991855507566751e-01,8.14449243324855132e-06,1.52935819563992936e-08,1.38270838905313830e-03,-5.83199198511739958e-01,5.27822259207331783e-06,4.66619117882694162e-12,-6.92554174574307524e-09,-5.28514813381906098e-06,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,nan,0,False,0,nan,-1,-1,nan,NOT_LOGGED_IN_FROZEN_BASELINE,True
dt4,3,1536,1,1.2000000000000002,49.35550250946573,C_TRANSPORT_LINE_SEARCH_STAGNATION,TRANSPORT_LINE_SEARCH_STAGNATION,solve_ctot_transport_operator,main_cuda.cu:34388-34419,14328,BDF2,coupled_outer_coupling,transport_evaluation_or_line_search_failed,2,1,QALPHA_LOWER_MANIFOLD,4,4,0,141,NOT_HIT,MIN_LAMBDA_EXHAUSTED,True,True,7.343993249160187e-12,5.684341886080802e-14,-3.469446951953614e-17,0.0,0.0,0.0,1883,142,140,1e-06,1e-06,0,5.492836990150824e-06,7.343993249160187e-12,"[5.492836990150824e-06, 5.4901559734170035e-06, 4.116917834848735e-06, 4.1088727412160195e-06, 4.107869069534144e-06, ""..."", 7.344034925951989e-12, 7.344031703085796e-12, 7.344028479074988e-12, 7.343996485756768e-12, 7.343993249160187e-12]",NOT_REACHED_BEFORE_REJECT,266,266,0,0,9.96290707963462752e-01,9.99999492479542895e-01,5.07520457104781997e-07,4.23160395612853790e-11,3.57542558784516230e-05,-1.56955734991086437e+00,4.89391589697146084e-08,-7.34399324916018747e-12,4.89391593815540181e-08,4.11839411623473732e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,nan,0,False,0,nan,-1,-1,nan,NOT_LOGGED_IN_FROZEN_BASELINE,True
dt4,4,1551,1,1.2117187500000002,49.83748983865973,B_TRANSPORT_NONLINEAR_ITERATION_LIMIT,TRANSPORT_NONLINEAR_ITERATION_LIMIT,solve_ctot_transport_operator,main_cuda.cu:34422-34429,14497,BDF2,coupled_outer_coupling,transport_evaluation_or_line_search_failed,2,1,QALPHA_LOWER_MANIFOLD,8,6,2,499,HIT,NOT_PRIMARY_CAUSE,True,True,4.246662810159117e-12,6.394884621840902e-13,-1.3877787807814457e-17,0.0,0.0,0.0,9514,500,499,1e-06,1e-06,1,5.432447576128972e-06,4.246662810159117e-12,"[5.432447576128972e-06, 5.26259494329686e-06, 5.242027160093423e-06, 5.231783459363256e-06, 5.230505498816408e-06, ""..."", 4.246662810159117e-12, 4.246662810159117e-12, 4.246662810159117e-12, 4.246662810159117e-12, 4.246662810159117e-12]",NOT_REACHED_BEFORE_REJECT,245,245,0,0,9.96293445311184800e-01,9.99999493600235545e-01,5.06399764454990020e-07,2.69559929932938758e-11,8.50968283451508604e-06,-1.95820088701795925e+00,1.64270811564225354e-08,-4.24666281015911725e-12,-3.77704629408781153e-16,-1.64270815341271659e-08,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,nan,0,False,0,nan,-1,-1,nan,NOT_LOGGED_IN_FROZEN_BASELINE,True
dt4,5,1576,1,1.2312500000000002,50.640802053983066,B_TRANSPORT_NONLINEAR_ITERATION_LIMIT,TRANSPORT_NONLINEAR_ITERATION_LIMIT,solve_ctot_transport_operator,main_cuda.cu:34422-34429,14770,BDF2,coupled_outer_coupling,transport_evaluation_or_line_search_failed,2,1,QALPHA_LOWER_MANIFOLD,8,6,2,499,HIT,NOT_PRIMARY_CAUSE,True,True,2.542626564249268e-12,-2.1316282072803006e-14,1.3877787807814457e-17,0.0,0.0,0.0,8319,500,499,1e-06,1.52587890625e-05,1,4.572934323320212e-06,2.542626564249268e-12,"[4.572934323320212e-06, 3.429138983275486e-06, 1.713733696661676e-06, 1.71366857393476e-06, 1.713408093476261e-06, ""..."", 2.542670718435682e-12, 2.5426596855831695e-12, 2.5426486489119496e-12, 2.54263760847011e-12, 2.542626564249268e-12]",NOT_REACHED_BEFORE_REJECT,267,267,0,0,9.90870548886395586e-01,9.99992494707563906e-01,7.50529243609410202e-06,1.07481017419530644e-08,9.40238794053680263e-04,-6.86510090694186559e-01,4.76351546067492599e-06,2.54262656424926816e-12,4.76986136691293179e-06,6.34590623800555035e-09,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,nan,0,False,0,nan,-1,-1,nan,NOT_LOGGED_IN_FROZEN_BASELINE,True
dt4,6,1576,2,1.2312500000000002,50.640802053983066,B_TRANSPORT_NONLINEAR_ITERATION_LIMIT,TRANSPORT_NONLINEAR_ITERATION_LIMIT,solve_ctot_transport_operator,main_cuda.cu:34422-34429,14783,BE_FALLBACK,coupled_outer_coupling,transport_evaluation_or_line_search_failed,4,1,FREE_OR_BE_CONTEXT,0,0,0,499,HIT,NOT_PRIMARY_CAUSE,True,True,1.5896187338958843e-12,2.6290081223123707e-13,-1.3877787807814457e-17,0.0,0.0,0.0,8615,500,499,1e-06,3.814697265625e-06,1,7.916488932392816e-06,1.5896187338958843e-12,"[7.916488932392816e-06, 2.6876502142844766e-06, 2.572238525562182e-06, 2.5170403256363757e-06, 2.5102903861899747e-06, ""..."", 1.5896187338958843e-12, 1.5896187338958843e-12, 1.5896187338958843e-12, 1.5896187338958843e-12, 1.5896187338958843e-12]",NOT_REACHED_BEFORE_REJECT,245,245,0,0,9.96297462797278377e-01,9.99999495242041458e-01,5.04757958541546259e-07,1.88360438357904059e-12,3.73130628465883715e-06,-2.18144245433051776e+00,8.73200539083124068e-09,-1.58961873389588433e-12,-3.58042121396289875e-16,-8.73200574887336285e-09,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,nan,0,False,0,nan,-1,-1,nan,NOT_LOGGED_IN_FROZEN_BASELINE,True
dt4,7,1596,1,1.2468750000000002,51.28345182624174,C_TRANSPORT_LINE_SEARCH_STAGNATION,TRANSPORT_LINE_SEARCH_STAGNATION,solve_ctot_transport_operator,main_cuda.cu:34388-34419,15021,BDF2,coupled_outer_coupling,transport_evaluation_or_line_search_failed,2,1,QALPHA_LOWER_MANIFOLD,22,6,16,59,NOT_HIT,MIN_LAMBDA_EXHAUSTED,True,True,3.443574242815223e-12,7.105427357601002e-15,-3.469446951953614e-17,0.0,0.0,0.0,804,60,58,1e-06,1e-06,0,3.435494049075932e-08,3.443574242815223e-12,"[3.435494049075932e-08, 4.925211039904838e-09, 2.0346054870982502e-09, 2.031473084601142e-09, 2.0299093917627343e-09, ""..."", 3.443574242815223e-12, 3.443574242815223e-12, 3.443574242815223e-12, 3.443574242815223e-12, 3.443574242815223e-12]",NOT_REACHED_BEFORE_REJECT,245,245,0,0,9.96300640518226754e-01,9.99999496538154231e-01,5.03461845768882199e-07,2.27581287148836964e-11,6.65548401618508823e-06,-2.02474703755792884e+00,1.30449164757771757e-08,-3.44357424281522317e-12,-3.71551629955510705e-16,-1.30449168473288050e-08,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,nan,0,False,0,nan,-1,-1,nan,NOT_LOGGED_IN_FROZEN_BASELINE,True
dt4,8,1597,1,1.2476562500000001,51.31558431485467,C_TRANSPORT_LINE_SEARCH_STAGNATION,TRANSPORT_LINE_SEARCH_STAGNATION,solve_ctot_transport_operator,main_cuda.cu:34388-34419,15043,BE_FALLBACK,coupled_outer_coupling,transport_evaluation_or_line_search_failed,2,0,FREE_OR_BE_CONTEXT,0,0,0,322,NOT_HIT,MIN_LAMBDA_EXHAUSTED,True,True,3.702416869884363e-12,2.7000623958883807e-13,3.469446951953614e-17,0.0,0.0,0.0,4524,323,321,1e-06,1e-06,0,0.0001507032722194431,3.702416869884363e-12,"[0.0001507032722194431, 0.00015037325920644093, 0.00015029094413644147, 0.00015027037710191774, 0.0001502600950485828, ""..."", 3.7016783919279155e-12, 3.702416869884363e-12, 3.702416869884363e-12, 3.702416869884363e-12, 3.702416869884363e-12]",NOT_REACHED_BEFORE_REJECT,266,266,0,0,9.96300755299240781e-01,9.99999496584929481e-01,5.03415070518542507e-07,8.92064200286313280e-13,1.77417444398601986e-06,-2.38275075439921213e+00,5.83190832105101810e-09,-3.70241686988436300e-12,4.81712507008934300e-09,-1.01478325096167489e-09,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,nan,0,False,0,nan,-1,-1,nan,NOT_LOGGED_IN_FROZEN_BASELINE,True
dt4,9,1637,1,1.2789062500000001,52.600883859372004,C_TRANSPORT_LINE_SEARCH_STAGNATION,TRANSPORT_LINE_SEARCH_STAGNATION,solve_ctot_transport_operator,main_cuda.cu:34388-34419,15473,BDF2,coupled_outer_coupling,transport_evaluation_or_line_search_failed,2,1,QALPHA_LOWER_MANIFOLD,6,6,0,111,NOT_HIT,MIN_LAMBDA_EXHAUSTED,True,True,4.5966482605103536e-12,6.679101716144942e-13,3.469446951953614e-17,0.0,0.0,0.0,1427,112,110,1e-06,1e-06,0,2.9188632974014363e-06,4.5966482605103536e-12,"[2.9188632974014363e-06, 2.8960481877039177e-06, 2.8932185897216057e-06, 2.8918051730897804e-06, 2.891451991602744e-06, ""..."", 4.5966482605103536e-12, 4.5966482605103536e-12, 4.5966482605103536e-12, 4.5966482605103536e-12, 4.5966482605103536e-12]",NOT_REACHED_BEFORE_REJECT,244,244,0,0,9.90961704060990711e-01,9.99992716283220506e-01,7.28371677949368745e-06,8.72992678146999879e-09,7.19631156517985186e-04,-7.58358005840199745e-01,4.45498850038752002e-06,4.59664826051035357e-12,-2.06553942492478573e-08,-4.47564389463676820e-06,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,nan,0,False,0,nan,-1,-1,nan,NOT_LOGGED_IN_FROZEN_BASELINE,True
dt4,10,1687,1,1.3179687500000001,54.20750829001867,B_TRANSPORT_NONLINEAR_ITERATION_LIMIT,TRANSPORT_NONLINEAR_ITERATION_LIMIT,solve_ctot_transport_operator,main_cuda.cu:34422-34429,16015,BDF2,coupled_outer_coupling,transport_evaluation_or_line_search_failed,2,1,QALPHA_LOWER_MANIFOLD,8,8,0,499,HIT,NOT_PRIMARY_CAUSE,True,True,1.1502032539123162e-12,5.258016244624741e-13,-2.0816681711721685e-17,0.0,0.0,0.0,7539,500,499,1e-06,1.52587890625e-05,1,4.937514887549868e-06,1.1502032539123162e-12,"[4.937514887549868e-06, 4.783143535799928e-06, 4.7644503893146e-06, 4.755140342494029e-06, 4.754559601507074e-06, ""..."", 1.1502726906254412e-12, 1.1502553332219797e-12, 1.1502379746352879e-12, 1.1502206148653951e-12, 1.1502032539123162e-12]",NOT_REACHED_BEFORE_REJECT,266,266,0,0,9.96310701196102766e-01,9.99999500627041460e-01,4.99372958540078571e-07,7.86570808486430906e-12,8.80251221820987365e-06,-1.94904005382779300e+00,1.06481458085965413e-08,-1.15020325391231625e-12,1.06843035555274970e-08,3.61577469309564098e-11,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,nan,0,False,0,nan,-1,-1,nan,NOT_LOGGED_IN_FROZEN_BASELINE,True
